"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"498","Cngrts entire team of #Bahubali<ed><U+00AE><U+00BA><ed><U+00B0><U+00A8><ed><U+00AE><U+00BA><ed><U+00B0><U+00A8> https://t.co/4XDAhvCskG",FALSE,0,NA,2016-03-28 06:47:03,FALSE,NA,"714343025351213056",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","vikmuk",0,FALSE,FALSE,NA,NA
"499","#bahubali Well deserved @ssrajamouli congratulations!!! https://t.co/GnNISTYj2Y",FALSE,0,NA,2016-03-28 06:45:03,FALSE,NA,"714342519404765184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnjaliStarlite",0,FALSE,FALSE,NA,NA
"500","Congrats to @SrBachchan  #KanganaRanaut #sanjayleelabhansali #bahubali for winning National award s",FALSE,0,NA,2016-03-28 06:44:37,FALSE,NA,"714342412357935104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","devendr54638701",0,FALSE,FALSE,NA,NA
"501","National Awards seem like the only awards which consider movies other than Bajirao Mastani.  Congratulations #Piku and #bahubali teams.",FALSE,1,NA,2016-03-28 06:44:09,FALSE,NA,"714342295143718912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandeep132",0,FALSE,FALSE,NA,NA
"502","WoW Proud moment for TFI Congratulations @ssrajamouli and #Bahubali team #NationalAwards <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> https://t.co/BGzkdDeki0",FALSE,0,NA,2016-03-28 06:43:07,FALSE,NA,"714342032911704064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vamseeevarma",0,FALSE,FALSE,NA,NA
"503","A film which is yet to conclude- #bahubali bags Best Film Award. Congrats SS Rajamouli team. #NationalAwards",FALSE,0,NA,2016-03-28 06:42:40,FALSE,NA,"714341920286191616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vssanakan",1,FALSE,FALSE,NA,NA
"504","#Piku is a good movie, @SrBachchan's performance was also good. But How come #bahubali became best film of 2015?
#NationalAwards became joke",FALSE,0,NA,2016-03-28 06:42:34,FALSE,NA,"714341896965873666",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","skk_ls",0,FALSE,FALSE,NA,NA
"505","#Bahubali wins the National award in Best film category. ...congrats @ssrajamouli @RanaDaggubati @tamannaahspeaks",FALSE,0,NA,2016-03-28 06:42:13,FALSE,NA,"714341808847724544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naveentilak",0,FALSE,FALSE,NA,NA
"506","National award for india's biggest epic motion picture #bahubali https://t.co/WFFD5VeTNJ",FALSE,0,NA,2016-03-28 06:42:03,FALSE,NA,"714341766783066112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vamsikrishnapo1",0,FALSE,FALSE,NA,NA
"507","For all the efforts taken, here comes the treat! Superb #bahubali #NationalAwards",FALSE,0,NA,2016-03-28 06:41:27,FALSE,NA,"714341616291479552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EMTICONSTHEATER",0,FALSE,FALSE,NA,NA
